City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Carnarvon,AU,-24.8667,113.6333,79.47,54,0,23.2,clear sky
80,Nouakchott,MR,18.0858,-15.9785,68.0,73,80,11.5,broken clouds
81,Burnie,AU,-41.0667,145.9167,59.0,80,56,5.99,light rain
82,Jacareacanga,BR,-6.2222,-57.7528,71.35,99,100,2.33,moderate rain
83,Kamaishi,JP,39.2667,141.8833,53.6,54,75,6.91,broken clouds
84,Nhulunbuy,AU,-12.2333,136.7667,86.0,66,99,8.05,overcast clouds
85,Bluff,NZ,-46.6,168.3333,57.99,82,98,17.2,overcast clouds
86,Sitka,US,57.0531,-135.33,55.4,38,1,11.5,clear sky
87,Iqaluit,CA,63.7506,-68.5145,14.0,85,90,4.12,light snow
88,Bireun,ID,5.203,96.7009,84.52,70,100,6.24,overcast clouds
89,Save,BJ,8.0425,2.486,82.78,59,86,6.46,overcast clouds
90,Hithadhoo,MV,-0.6,73.0833,83.07,67,94,5.59,overcast clouds
91,Mar Del Plata,AR,-38.0023,-57.5575,64.99,94,21,6.91,mist
92,Krasnoarmeysk,RU,51.0239,45.6969,50.32,73,100,12.86,overcast clouds
93,Elk City,US,35.412,-99.4043,44.6,61,1,6.51,clear sky
94,Beaune,FR,47.0833,4.75,48.2,76,40,5.75,scattered clouds
95,College,US,64.8569,-147.8028,41.0,65,1,3.44,clear sky
96,Adelaide,AU,-34.9333,138.6,68.0,45,75,9.22,broken clouds
97,Cabedelo,BR,-6.9811,-34.8339,71.6,100,20,2.3,few clouds
98,Ulkan,RU,57.243,107.3223,39.24,64,100,12.44,overcast clouds
99,Mubi,NG,10.2676,13.2644,88.38,37,56,4.43,broken clouds
100,Conde,BR,-7.2597,-34.9075,71.6,100,20,2.3,few clouds
101,Vila Velha,BR,-20.3297,-40.2925,73.4,88,0,6.96,clear sky
102,Kaitangata,NZ,-46.2817,169.8464,60.01,51,51,8.99,broken clouds
103,Broken Hill,AU,-31.95,141.4333,69.8,28,0,6.91,clear sky
104,Talnakh,RU,69.4865,88.3972,7.95,85,30,6.58,scattered clouds
105,Kavaratti,IN,10.5669,72.642,84.25,69,11,5.7,few clouds
106,Fortuna,US,40.5982,-124.1573,48.99,100,90,6.91,overcast clouds
107,Upernavik,GL,72.7868,-56.1549,-0.08,82,99,4.7,overcast clouds
108,San Patricio,US,28.017,-97.5169,60.01,88,90,3.44,overcast clouds
109,Sorbhog,IN,26.5,90.8667,92.26,33,0,11.36,clear sky
110,Urumqi,CN,43.801,87.6005,71.6,24,40,24.61,light rain
111,Kozhevnikovo,RU,56.2589,83.9714,21.0,65,100,14.14,overcast clouds
112,Kapit,MY,2.0167,112.9333,84.27,78,33,3.6,light rain
113,Rudnogorsk,RU,57.2639,103.7519,35.02,78,100,14.41,light snow
114,Cherskiy,RU,68.75,161.3,13.91,91,11,0.78,few clouds
115,Bredasdorp,ZA,-34.5322,20.0403,62.6,67,90,13.8,light rain
116,Cabo San Lucas,MX,22.8909,-109.9124,69.01,82,100,1.01,overcast clouds
117,Ostrovnoy,RU,68.0531,39.5131,36.21,86,97,20.56,overcast clouds
118,Te Anau,NZ,-45.4167,167.7167,50.27,89,33,5.53,scattered clouds
119,Yellowknife,CA,62.456,-114.3525,32.0,69,75,3.44,broken clouds
120,Purpe,RU,64.4803,76.6897,7.0,61,63,1.99,broken clouds
121,Zhigansk,RU,66.7697,123.3711,18.41,74,100,6.06,overcast clouds
122,Kathu,TH,7.9178,98.3332,86.0,94,75,11.5,moderate rain
123,Karibib,NA,-21.9333,15.8333,73.49,38,0,16.51,clear sky
124,Souillac,MU,-20.5167,57.5167,84.2,74,75,11.5,light rain
125,Cukai,MY,4.25,103.4167,87.8,74,40,8.05,scattered clouds
126,Kawalu,ID,-7.3817,108.2082,82.02,68,82,5.21,broken clouds
127,Cockburn Town,TC,21.4612,-71.1419,78.3,85,100,17.69,overcast clouds
128,Soyo,AO,-6.1349,12.3689,77.0,94,75,4.61,light rain
129,Tiarei,PF,-17.5333,-149.3333,78.8,83,20,2.3,few clouds
130,Kodiak,US,57.79,-152.4072,46.4,71,1,17.27,clear sky
131,Kruisfontein,ZA,-34.0033,24.7314,64.99,92,100,1.01,moderate rain
132,Chitral,PK,35.8462,71.7858,58.35,45,0,2.98,clear sky
133,Belmonte,BR,-15.8631,-38.8828,71.6,94,20,3.44,few clouds
134,Talara,PE,-4.5772,-81.2719,71.02,83,100,5.14,overcast clouds
135,Sao Filipe,CV,14.8961,-24.4956,72.03,73,10,11.63,clear sky
136,Avarua,CK,-21.2078,-159.775,78.8,83,90,14.97,light rain
137,Ternate,ID,0.8,127.4,82.58,76,100,9.31,moderate rain
138,Port Hedland,AU,-20.3167,118.5667,87.8,33,0,12.66,clear sky
139,Merrill,US,45.1805,-89.6835,37.99,87,40,10.36,scattered clouds
140,Havelock,US,34.8791,-76.9013,59.0,94,1,4.43,clear sky
141,Waipawa,NZ,-41.4122,175.5153,61.0,82,20,13.8,few clouds
142,Deputatskiy,RU,69.3,139.9,12.87,92,99,3.71,overcast clouds
143,Riyadh,SA,24.6877,46.7219,89.6,11,0,2.3,clear sky
144,Sibolga,ID,1.7427,98.7792,84.88,63,72,5.28,broken clouds
145,Novikovo,RU,51.1537,37.8879,53.02,62,78,3.83,broken clouds
146,Khandyga,RU,62.6667,135.6,32.22,97,100,4.81,light snow
147,Dolores,AR,-36.3132,-57.6792,60.78,96,5,6.82,clear sky
148,Ribeira Grande,PT,38.5167,-28.7,62.6,88,40,10.36,scattered clouds
149,Rio Pardo,BR,-29.9897,-52.3781,57.99,97,1,3.78,clear sky
150,Mossendjo,CG,-2.9506,12.7261,75.81,88,83,0.83,broken clouds
151,Matara,LK,5.9485,80.5353,86.63,63,74,10.85,broken clouds
152,Dalbandin,PK,28.8947,64.4101,88.23,10,100,4.88,overcast clouds
153,Puerto Ayora,EC,-0.7393,-90.3518,73.99,98,57,5.06,broken clouds
154,Panzhihua,CN,26.5851,101.7128,93.02,15,77,7.07,broken clouds
155,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.83,88,98,7.38,overcast clouds
156,Keti Bandar,PK,24.1447,67.4497,88.05,51,40,15.75,scattered clouds
157,Lipin Bor,RU,60.2622,37.9763,41.56,52,2,9.82,clear sky
158,Avera,US,33.194,-82.5271,57.0,100,40,4.61,scattered clouds
159,Luganville,VU,-15.5333,167.1667,79.77,83,97,3.13,overcast clouds
160,Marsa Matruh,EG,31.3525,27.2453,71.6,68,40,13.8,scattered clouds
161,Adre,TD,13.4667,22.2,93.63,5,3,12.62,clear sky
162,Broome,US,42.2506,-75.833,44.6,70,40,4.61,scattered clouds
163,Hambantota,LK,6.1241,81.1185,89.6,74,40,11.5,scattered clouds
164,Moussoro,TD,13.6408,16.4901,96.89,5,15,15.01,few clouds
165,Marivan,IR,35.5219,46.176,74.73,30,63,3.42,broken clouds
166,Lazi,UA,48.0667,24.2333,44.44,90,100,1.52,overcast clouds
167,Port-Gentil,GA,-0.7193,8.7815,80.6,89,75,3.44,broken clouds
168,Houma,US,29.5958,-90.7195,60.01,77,1,9.22,clear sky
169,Oktyabrskiy,RU,54.4815,53.471,40.33,60,100,13.6,overcast clouds
170,Adrar,MR,20.5022,-10.0711,78.31,10,0,7.4,clear sky
171,Two Rivers,US,44.1539,-87.5693,46.0,81,75,3.44,broken clouds
172,Robertson,US,36.5167,-86.8667,46.4,100,90,4.03,overcast clouds
173,Pionerskiy,RU,54.9508,20.2275,53.6,54,0,8.95,clear sky
174,Nara,JP,34.6851,135.8049,64.4,42,20,6.91,few clouds
175,Leshukonskoye,RU,64.8989,45.7622,40.39,42,100,6.69,overcast clouds
176,Talovaya,RU,51.1144,40.73,57.09,45,36,5.14,scattered clouds
177,Muroto,JP,33.2833,134.15,64.4,52,0,9.22,clear sky
178,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,90,16.11,light rain
179,Itarema,BR,-2.9248,-39.9167,74.03,93,100,4.9,overcast clouds
180,Dikson,RU,73.5069,80.5464,9.79,91,100,15.32,overcast clouds
181,Kanye,BW,-24.9667,25.3327,68.36,33,90,4.09,overcast clouds
182,Amahai,ID,-3.3333,128.9167,82.0,86,95,4.0,moderate rain
183,Hamada,JP,34.8833,132.0833,62.6,42,0,12.66,clear sky
184,Nalut,LY,30.3333,10.85,64.26,22,45,7.96,scattered clouds
185,Tuatapere,NZ,-46.1333,167.6833,57.99,82,98,4.97,overcast clouds
186,Fort Nelson,CA,58.8053,-122.7002,32.0,69,1,3.44,clear sky
187,Eureka,US,40.8021,-124.1637,48.99,92,100,1.01,overcast clouds
188,Kahului,US,20.8947,-156.47,71.6,78,1,6.91,clear sky
189,Ust-Kuyga,RU,70.0167,135.6,18.03,83,57,5.59,broken clouds
190,Diamantino,BR,-14.4086,-56.4461,70.86,86,40,2.68,scattered clouds
191,Clyde River,CA,70.4692,-68.5914,5.0,85,90,14.97,light snow
192,Isangel,VU,-19.55,169.2667,79.29,85,31,6.76,scattered clouds
193,Ust-Ishim,RU,57.6935,71.1665,24.44,39,100,11.16,overcast clouds
194,Nieuw Amsterdam,SR,5.8833,-55.0833,77.0,90,99,1.01,overcast clouds
195,Merauke,ID,-8.4667,140.3333,81.59,79,93,8.08,overcast clouds
196,Riviere-Au-Renard,CA,48.9957,-64.3971,39.2,70,90,4.61,overcast clouds
197,Castro,BR,-24.7911,-50.0119,54.64,93,96,6.22,overcast clouds
198,Porkhov,RU,57.765,29.5561,55.4,38,0,8.95,clear sky
199,Acarau,BR,-2.8856,-40.12,73.99,92,100,8.46,overcast clouds
200,Mahebourg,MU,-20.4081,57.7,84.2,74,75,11.5,broken clouds
201,Mitsamiouli,KM,-11.3847,43.2844,82.56,73,10,8.16,clear sky
202,Ilave,PE,-16.0833,-69.6667,34.09,67,0,2.8,clear sky
203,Buchanan,LR,5.8808,-10.0467,77.0,94,75,4.61,broken clouds
204,Belyy Yar,RU,53.6039,91.3903,50.0,29,0,31.32,clear sky
205,Palmer,US,42.1584,-72.3287,42.01,100,75,2.57,broken clouds
206,Hasaki,JP,35.7333,140.8333,73.0,30,20,6.91,few clouds
207,Camacha,PT,33.0833,-16.3333,62.6,72,20,11.5,few clouds
208,Nikolskoye,RU,59.7035,30.7861,53.01,40,0,13.42,clear sky
209,Inongo,CD,-1.95,18.2667,72.79,96,100,5.14,moderate rain
210,Nishihara,JP,26.1842,127.7558,71.6,53,75,13.8,broken clouds
211,Namatanai,PG,-3.6667,152.4333,81.7,77,57,6.8,light rain
212,Bengkulu,ID,-3.8004,102.2655,84.02,68,34,8.01,light rain
213,Saint George,US,37.1041,-113.5841,62.6,14,1,9.22,clear sky
214,Cairns,AU,-16.9167,145.7667,75.2,94,40,8.05,light rain
215,Pevek,RU,69.7008,170.3133,11.77,93,22,1.61,few clouds
216,Okitipupa,NG,6.5047,4.7839,82.85,68,96,2.57,overcast clouds
217,Kota Belud,MY,6.351,116.4305,89.6,66,20,5.75,few clouds
218,Pampa,US,35.5362,-100.9599,41.0,45,1,10.36,clear sky
219,Konstantinovsk,RU,47.5828,41.0922,53.22,82,100,2.08,overcast clouds
220,Zhanaozen,KZ,43.3,52.8,73.09,28,100,10.09,overcast clouds
221,Nizhnevartovsk,RU,60.9344,76.5531,14.0,48,0,13.42,clear sky
222,Torbay,CA,47.6666,-52.7314,37.99,100,90,2.3,mist
223,Marzuq,YE,14.4,46.4667,83.75,23,94,10.94,overcast clouds
224,Aksu,CN,41.1231,80.2644,73.69,20,98,9.62,overcast clouds
225,Odienne,CI,9.51,-7.5692,82.63,52,99,5.41,overcast clouds
226,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,20,11.5,few clouds
227,Nome,US,64.5011,-165.4064,35.6,75,20,6.91,few clouds
228,Dunedin,NZ,-45.8742,170.5036,55.99,72,93,1.99,overcast clouds
229,Karratha,AU,-20.7377,116.8463,85.21,51,64,12.95,broken clouds
230,Springbok,ZA,-29.6643,17.8865,78.15,22,5,4.07,clear sky
231,Rawalpindi,PK,33.6007,73.0679,82.0,31,87,5.99,overcast clouds
232,Saskylakh,RU,71.9167,114.0833,9.01,88,100,9.89,overcast clouds
233,Guerrero Negro,MX,27.9769,-114.0611,59.25,88,0,7.4,clear sky
234,Normandin,CA,48.8333,-72.5321,41.0,87,33,5.75,scattered clouds
235,Zhangjiakou,CN,40.81,114.8794,74.05,8,98,2.98,overcast clouds
236,Geraldton,AU,-28.7667,114.6,75.2,50,100,23.02,overcast clouds
